Neighbourhood,City,Property_Type,Room_Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Guests_Included,Extra_People,Minimum_Nights,Maximum_Nights
Mission,San Francisco,Apartment,Entire home/apt,4,1,2,3,175,4,25,3,1125
Mission,San Francisco,Apartment,Private room,2,1.5,1,1,90,1,0,3,1125
Mission,San Francisco,Apartment,Private room,2,1.5,1,1,70,1,0,1,90
Mission,San Francisco,Condominium,Private room,2,1,1,1,115,1,0,2,3
Mission,San Francisco,House,Private room,2,1,1,1,150,1,50,1,7
Mission,San Francisco,Apartment,Entire home/apt,2,1,1,1,154,2,15,2,1125
Mission,San Francisco,Apartment,Entire home/apt,5,1,2,2,380,1,0,2,1125
Mission,San Francisco,House,Entire home/apt,3,1,2,2,150,1,0,2,20
Mission,San Francisco,Apartment,Entire home/apt,4,2,2,2,259,3,45,1,1125
Mission,San Francisco,Apartment,Private room,1,1,1,1,130,1,0,6,1125
Mission,San Francisco,House,Private room,2,1,1,1,175,1,0,4,120
Mission,San Francisco,House,Private room,2,1,1,1,120,2,20,2,4
West of Twin Peaks,San Francisco,House,Private room,2,1,1,1,150,1,25,3,1125
West of Twin Peaks,San Francisco,House,Entire home/apt,2,1,1,1,79,1,20,5,26
West of Twin Peaks,San Francisco,Apartment,Private room,2,1,1,1,65,1,0,1,1125
West of Twin Peaks,San Francisco,House,Entire home/apt,7,2,2,4,220,4,35,1,1125
West of Twin Peaks,San Francisco,House,Entire home/apt,4,1,2,2,350,1,0,2,4
West of Twin Peaks,San Francisco,House,Private room,2,1,1,1,86,1,10,1,1125
West of Twin Peaks,San Francisco,House,Entire home/apt,2,1,1,1,145,2,0,3,29
Inner Richmond,San Francisco,Apartment,Private room,2,2,1,1,95,1,0,1,1125
Inner Richmond,San Francisco,Apartment,Entire home/apt,2,1,0,1,100,1,0,7,120
Inner Richmond,San Francisco,House,Private room,2,1.5,1,1,120,1,20,2,1125
Inner Richmond,San Francisco,Apartment,Entire home/apt,2,1,1,1,135,2,15,3,28
Mission,San Francisco,Apartment,Entire home/apt,3,1,1,2,200,1,0,7,1125
Mission,San Francisco,House,Entire home/apt,2,1,1,1,145,2,0,2,365
Mission,San Francisco,Apartment,Private room,3,1,1,2,69,1,15,1,30
Mission,San Francisco,House,Shared room,1,3.5,1,1,42,2,25,30,1125
Mission,San Francisco,Apartment,Private room,2,1,1,1,125,1,0,2,14
Mission,San Francisco,House,Private room,2,1,1,1,100,1,25,1,7
Mission,San Francisco,Apartment,Entire home/apt,2,1,1,1,275,2,30,1,30
Mission,San Francisco,Apartment,Private room,1,1,1,1,200,1,0,1,1125
Mission,San Francisco,House,Private room,1,1,1,1,65,1,25,3,1125
Mission,San Francisco,Loft,Entire home/apt,2,1.5,1,1,175,1,0,4,1125
Mission,San Francisco,Apartment,Private room,2,1,1,1,125,1,25,1,7
Mission,San Francisco,House,Private room,2,2,1,1,101,1,10,1,125
Mission,San Francisco,Apartment,Private room,2,1,1,1,109,1,0,1,14
Mission,San Francisco,Condominium,Private room,2,1,1,1,185,1,0,4,29
Mission,San Francisco,Apartment,Private room,2,1,1,1,95,1,0,1,1125
Mission,San Francisco,Apartment,Entire home/apt,6,1,3,4,300,3,30,1,1125
Mission,San Francisco,Apartment,Shared room,1,2,1,2,24,1,55,5,1000
Mission,San Francisco,Apartment,Private room,2,1,1,1,89,1,0,2,1125
Mission,San Francisco,Condominium,Entire home/apt,4,1,2,2,249,1,0,4,1125
South of Market,San Francisco,Apartment,Private room,2,1,1,1,67,1,0,1,14
South of Market,San Francisco,Condominium,Private room,2,1,1,1,200,1,0,1,1125
South of Market,San Francisco,Loft,Entire home/apt,3,1,1,1,280,2,60,3,1125
South of Market,San Francisco,Apartment,Entire home/apt,2,1,1,1,101,1,0,1,70
South of Market,San Francisco,Apartment,Entire home/apt,2,1,1,1,500,1,0,2,1125
South of Market,San Francisco,Apartment,Entire home/apt,3,1,1,1,200,1,0,30,1125
South of Market,San Francisco,Apartment,Entire home/apt,4,1,1,2,195,1,0,2,3
South of Market,San Francisco,Apartment,Private room,2,1,1,1,160,2,50,1,1125
South of Market,San Francisco,Apartment,Private room,2,1,1,1,125,1,0,2,1125
South of Market,San Francisco,Apartment,Private room,1,1,1,1,169,1,39,2,10
South of Market,San Francisco,Loft,Private room,1,1,1,1,122,1,0,2,1125
South of Market,San Francisco,Dorm,Private room,2,1,1,1,150,1,15,1,1125
South of Market,San Francisco,Apartment,Private room,2,1,1,1,100,1,0,1,3
South of Market,San Francisco,Apartment,Private room,3,1,1,1,160,1,25,2,60
South of Market,San Francisco,House,Private room,1,1,1,1,65,1,0,3,1125
South of Market,San Francisco,Apartment,Entire home/apt,3,1,1,1,128,1,0,4,1125
South of Market,San Francisco,Condominium,Entire home/apt,3,1,1,1,185,1,25,3,14
South of Market,San Francisco,Apartment,Entire home/apt,6,2,2,2,515,3,30,1,1125
Bayview,San Francisco,Apartment,Entire home/apt,4,1,2,2,170,2,25,2,200
Bayview,San Francisco,Apartment,Private room,1,1,1,1,61,1,10,1,1125
Visitacion Valley,San Francisco,House,Private room,1,1,1,1,35,1,30,1,730
Pacific Heights,San Francisco,Cabin,Private room,3,1.5,1,2,160,1,0,11,12
Pacific Heights,San Francisco,Apartment,Entire home/apt,1,1,0,1,250,1,0,1,1125
Pacific Heights,San Francisco,House,Entire home/apt,7,2.5,3,3,516,1,0,2,1125
Pacific Heights,San Francisco,Apartment,Entire home/apt,4,1,2,2,499,1,0,1,1125
Pacific Heights,San Francisco,Apartment,Entire home/apt,4,1,2,2,250,1,0,1,1125
Pacific Heights,San Francisco,Apartment,Entire home/apt,2,1,0,1,198,2,50,1,7
Pacific Heights,San Francisco,Apartment,Entire home/apt,2,1,1,1,129,1,40,2,60
Pacific Heights,San Francisco,Apartment,Entire home/apt,8,1,3,4,800,1,0,1,1125
Pacific Heights,San Francisco,Apartment,Entire home/apt,6,2,2,3,235,4,15,5,1125
Pacific Heights,San Francisco,Apartment,Private room,1,1,1,1,145,1,0,1,1125
South of Market,San Francisco,Apartment,Private room,1,1,1,1,100,1,45,2,27
South of Market,San Francisco,Apartment,Entire home/apt,2,1,0,1,750,1,0,2,3
South of Market,San Francisco,Condominium,Entire home/apt,3,1,1,1,178,1,35,1,1125
South of Market,San Francisco,Loft,Private room,2,1,1,1,315,5,50,2,365
South of Market,San Francisco,Loft,Entire home/apt,6,1,1,3,175,3,25,3,1125
Castro/Upper Market,San Francisco,Condominium,Entire home/apt,5,2,3,3,250,1,0,3,17
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,3,1,1,1,260,1,0,2,29
Castro/Upper Market,San Francisco,House,Entire home/apt,4,2,2,2,395,1,0,3,1125
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,5,1,2,2,229,4,50,2,7
Castro/Upper Market,San Francisco,Apartment,Private room,2,2.5,1,1,72,1,5,5,23
Castro/Upper Market,San Francisco,House,Entire home/apt,2,1,1,1,295,1,0,1,28
Castro/Upper Market,San Francisco,House,Private room,2,1,1,1,200,2,25,3,365
Castro/Upper Market,San Francisco,Apartment,Private room,2,1,1,1,99,1,0,1,1125
Castro/Upper Market,San Francisco,Apartment,Private room,2,1,1,1,150,1,25,1,1125
Castro/Upper Market,San Francisco,House,Entire home/apt,6,1.5,3,3,549,1,0,2,7
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,7,1,3,3,250,1,0,3,1125
Castro/Upper Market,San Francisco,Condominium,Private room,2,1,1,1,125,1,0,2,1125
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,2,1,1,1,180,2,30,3,90
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,10,2,3,4,525,8,35,3,14
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,3,1,2,2,190,3,0,2,1125
Twin Peaks,San Francisco,House,Private room,2,1,1,1,150,1,10,2,21
Twin Peaks,San Francisco,Apartment,Private room,2,1,1,1,100,1,0,1,1125
Twin Peaks,San Francisco,Apartment,Entire home/apt,6,1,2,2,299,4,50,1,21
Twin Peaks,San Francisco,Apartment,Entire home/apt,2,1.5,1,1,200,1,0,2,7
Glen Park,San Francisco,House,Entire home/apt,4,1,2,2,224,4,25,3,28
Glen Park,San Francisco,House,Entire home/apt,5,2,3,4,315,5,150,7,180
Glen Park,San Francisco,Bungalow,Private room,2,1,1,1,108,1,0,3,30
Glen Park,San Francisco,Apartment,Entire home/apt,3,1,2,2,199,1,0,3,1125
Potrero Hill,San Francisco,Loft,Entire home/apt,4,1,2,2,950,4,50,1,1125
Potrero Hill,San Francisco,House,Entire home/apt,5,2,2,3,250,1,0,4,1125
Potrero Hill,San Francisco,Condominium,Entire home/apt,4,2,1,2,190,4,100,2,7
Potrero Hill,San Francisco,House,Entire home/apt,6,2,3,4,575,6,200,2,1125
Potrero Hill,San Francisco,House,Private room,2,1,1,1,195,1,0,1,1125
Potrero Hill,San Francisco,House,Entire home/apt,8,3,3,4,327,6,15,1,1125
Potrero Hill,San Francisco,Apartment,Entire home/apt,4,2,2,2,350,1,0,4,30
Potrero Hill,San Francisco,Apartment,Entire home/apt,6,3.5,3,3,700,1,0,10,1125
Potrero Hill,San Francisco,Condominium,Entire home/apt,4,2,2,2,148,1,0,7,29
Potrero Hill,San Francisco,House,Entire home/apt,4,1,2,2,135,4,50,30,1125
Potrero Hill,San Francisco,House,Private room,2,1,1,1,146,2,25,1,1125
Potrero Hill,San Francisco,House,Private room,2,1.5,1,1,104,1,0,3,21
Potrero Hill,San Francisco,House,Entire home/apt,8,1.5,4,5,600,1,0,3,29
Castro/Upper Market,San Francisco,House,Entire home/apt,4,1,2,2,200,1,0,6,14
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,3,1,2,2,175,1,0,14,28
Castro/Upper Market,San Francisco,Apartment,Private room,2,1.5,1,1,95,2,0,3,30
Bernal Heights,San Francisco,Apartment,Entire home/apt,2,1,1,1,135,1,0,7,1125
Bernal Heights,San Francisco,Apartment,Private room,2,1,1,1,149,1,0,1,1125
Bernal Heights,San Francisco,Apartment,Private room,2,1,1,1,60,1,0,2,14
Bernal Heights,San Francisco,House,Private room,2,2,1,1,125,1,50,1,1125
Bernal Heights,San Francisco,House,Private room,2,1,1,2,90,1,0,1,5
Bernal Heights,San Francisco,Apartment,Entire home/apt,2,1,0,1,90,2,0,4,30
Bernal Heights,San Francisco,Apartment,Entire home/apt,3,1,1,1,159,2,25,2,20
Bernal Heights,San Francisco,House,Entire home/apt,6,1,2,2,190,4,25,2,365
Bernal Heights,San Francisco,Apartment,Private room,1,1,1,1,128,1,25,14,28
Bernal Heights,San Francisco,Apartment,Entire home/apt,6,1,2,2,850,6,65,1,1125
Bernal Heights,San Francisco,Other,Entire home/apt,1,2,0,16,600,1,0,1,30
Bernal Heights,San Francisco,Apartment,Entire home/apt,2,1,1,1,149,2,50,1,27
Bernal Heights,San Francisco,House,Entire home/apt,5,2,3,4,399,1,0,3,37
Bernal Heights,San Francisco,House,Private room,2,1,1,1,95,1,0,1,1125
Bernal Heights,San Francisco,Apartment,Entire home/apt,5,1.5,2,3,350,1,0,6,29
Bernal Heights,San Francisco,House,Entire home/apt,7,3.5,3,3,300,1,0,3,1125
Chinatown,San Francisco,Condominium,Entire home/apt,2,1,0,1,250,1,0,1,1125
Chinatown,San Francisco,Apartment,Entire home/apt,1,1,1,1,289,1,0,1,1125
Chinatown,San Francisco,Apartment,Entire home/apt,2,1,0,1,200,1,0,1,1
Chinatown,San Francisco,Condominium,Entire home/apt,4,2,1,2,185,1,0,2,14
Chinatown,San Francisco,Condominium,Entire home/apt,2,1,0,1,250,1,0,1,1125
Chinatown,San Francisco,Condominium,Entire home/apt,4,1,1,2,124,1,0,1,1125
North Beach,San Francisco,Bed & Breakfast,Shared room,4,0,1,4,38,1,47,1,1125
North Beach,San Francisco,Apartment,Private room,2,1.5,1,1,150,1,0,1,1125
North Beach,San Francisco,Apartment,Entire home/apt,2,1,0,1,133,1,0,30,1125
North Beach,San Francisco,Apartment,Entire home/apt,4,1,1,1,175,2,0,30,30
North Beach,San Francisco,Apartment,Entire home/apt,4,1,1,2,250,2,50,2,1125
North Beach,San Francisco,Bed & Breakfast,Shared room,4,0,1,4,38,1,47,1,1125
North Beach,San Francisco,Apartment,Entire home/apt,4,1,1,2,195,1,50,1,1125
North Beach,San Francisco,Apartment,Entire home/apt,2,1,1,1,165,2,50,3,1125
North Beach,San Francisco,Apartment,Entire home/apt,4,1,2,2,500,1,0,1,1125
North Beach,San Francisco,Apartment,Private room,2,1,1,1,95,1,0,2,28
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,0,1,125,1,0,3,1125
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,0,1,127,1,0,1,1125
Nob Hill,San Francisco,Apartment,Entire home/apt,6,3.5,3,3,900,1,0,5,1125
Nob Hill,San Francisco,Apartment,Private room,1,1.5,1,1,140,1,0,1,1125
Downtown/Civic Center,San Francisco,Apartment,Entire home/apt,2,1,0,1,130,1,0,5,25
Downtown/Civic Center,San Francisco,Boutique hotel,Private room,2,2,1,1,100,2,60,1,25
Downtown/Civic Center,San Francisco,Condominium,Entire home/apt,4,1,1,2,300,1,0,3,1125
Downtown/Civic Center,San Francisco,Other,Entire home/apt,2,1,1,2,201,1,0,1,7
